         11x13EP                  (11x13EP.dat)                                                                                                                                     
         v2025-0210                                                                                                                                                                 
         Simulation Date: 06/09/2025                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLARS                                                                                                                                 
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (True Air Speed in MPH)                                                                                                                                                 
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
        4.89      0.2346      0.3230      0.1392      0.1011       0.010       0.330       0.260       7.816       0.037       1.156      15.075        0.09      30567.    0.4099  
        5.86      0.2815      0.3764      0.1386      0.1036       0.011       0.339       0.259       8.013       0.038       1.151      14.641        0.09      30650.    0.3972  
        6.84      0.3284      0.4258      0.1378      0.1063       0.011       0.347       0.257       8.219       0.039       1.144      14.195        0.09      30742.    0.3840  
        7.82      0.3753      0.4710      0.1369      0.1090       0.011       0.356       0.255       8.431       0.040       1.136      13.742        0.09      30844.    0.3705  
        8.80      0.4222      0.5124      0.1356      0.1118       0.012       0.365       0.253       8.640       0.041       1.126      13.286        0.09      30956.    0.3565  
        9.77      0.4691      0.5499      0.1340      0.1143       0.012       0.374       0.250       8.839       0.042       1.112      12.834        0.09      31079.    0.3424  
       10.75      0.5161      0.5839      0.1320      0.1166       0.012       0.381       0.246       9.017       0.043       1.096      12.389        0.09      31212.    0.3280  
       11.73      0.5630      0.6147      0.1294      0.1185       0.012       0.387       0.242       9.165       0.044       1.074      11.955        0.09      31355.    0.3134  
       12.71      0.6099      0.6424      0.1263      0.1199       0.012       0.392       0.236       9.269       0.044       1.048      11.534        0.09      31509.    0.2987  
       13.68      0.6568      0.6675      0.1225      0.1205       0.012       0.394       0.229       9.319       0.044       1.017      11.128        0.09      31674.    0.2838  
       14.66      0.7037      0.6901      0.1180      0.1203       0.012       0.393       0.220       9.301       0.044       0.979      10.737        0.09      31848.    0.2688  
       15.64      0.7506      0.7104      0.1127      0.1191       0.012       0.389       0.210       9.207       0.044       0.936      10.362        0.09      32033.    0.2535  
       16.62      0.7975      0.7284      0.1066      0.1168       0.012       0.381       0.199       9.027       0.043       0.885      10.000        0.09      32228.    0.2380  
       17.59      0.8445      0.7440      0.0998      0.1133       0.012       0.370       0.186       8.757       0.042       0.828       9.647        0.09      32433.    0.2221  
       18.57      0.8914      0.7568      0.0922      0.1086       0.011       0.355       0.172       8.398       0.040       0.766       9.296        0.09      32647.    0.2057  
       19.55      0.9383      0.7662      0.0841      0.1029       0.011       0.336       0.157       7.959       0.038       0.698       8.941        0.09      32870.    0.1889  
       20.53      0.9852      0.7712      0.0754      0.0964       0.010       0.315       0.141       7.450       0.036       0.626       8.571        0.09      33101.    0.1715  
       21.50      1.0321      0.7705      0.0664      0.0890       0.009       0.291       0.124       6.879       0.033       0.551       8.173        0.09      33341.    0.1535  
       22.48      1.0790      0.7620      0.0571      0.0809       0.008       0.264       0.107       6.256       0.030       0.474       7.732        0.09      33590.    0.1347  
       23.46      1.1259      0.7428      0.0477      0.0723       0.007       0.236       0.089       5.587       0.027       0.396       7.223        0.09      33846.    0.1149  
       24.43      1.1729      0.7079      0.0381      0.0631       0.007       0.206       0.071       4.878       0.023       0.316       6.608        0.09      34111.    0.0940  
       25.41      1.2198      0.6486      0.0284      0.0535       0.006       0.175       0.053       4.136       0.020       0.236       5.822        0.09      34383.    0.0715  
       26.39      1.2667      0.5479      0.0188      0.0435       0.005       0.142       0.035       3.366       0.016       0.156       4.736        0.09      34663.    0.0474  
       27.37      1.3136      0.3681      0.0093      0.0333       0.003       0.109       0.017       2.578       0.012       0.078       3.068        0.09      34950.    0.0216  
       28.34      1.3605      0.0035      0.0001      0.0230       0.002       0.075       0.000       1.778       0.008       0.000       0.028        0.10      35244.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1416      0.0888       0.031       0.653       0.595      23.163       0.074       2.645      11.645        0.13      45421.    0.4790  
        1.47      0.0471      0.0737      0.1412      0.0902       0.032       0.663       0.593      23.546       0.075       2.638      11.424        0.13      45485.    0.4693  
        2.94      0.0942      0.1443      0.1408      0.0919       0.032       0.676       0.591      23.990       0.076       2.631      11.182        0.13      45558.    0.4587  
        4.41      0.1413      0.2113      0.1405      0.0939       0.033       0.690       0.590      24.498       0.078       2.624      10.920        0.13      45644.    0.4474  
        5.89      0.1884      0.2746      0.1400      0.0961       0.034       0.706       0.588      25.068       0.080       2.616      10.640        0.13      45741.    0.4352  
        7.36      0.2354      0.3337      0.1396      0.0985       0.034       0.724       0.586      25.694       0.082       2.607      10.345        0.13      45852.    0.4224  
        8.83      0.2825      0.3885      0.1390      0.1011       0.035       0.743       0.584      26.370       0.084       2.596      10.038        0.13      45977.    0.4090  
       10.30      0.3296      0.4390      0.1382      0.1038       0.036       0.763       0.580      27.080       0.086       2.582       9.722        0.13      46116.    0.3951  
       11.77      0.3767      0.4853      0.1373      0.1066       0.037       0.783       0.576      27.809       0.089       2.564       9.402        0.13      46270.    0.3808  
       13.24      0.4238      0.5273      0.1360      0.1093       0.038       0.804       0.571      28.531       0.091       2.541       9.082        0.13      46440.    0.3662  
       14.72      0.4709      0.5654      0.1344      0.1120       0.039       0.823       0.565      29.218       0.093       2.511       8.764        0.13      46625.    0.3513  
       16.19      0.5180      0.5998      0.1324      0.1143       0.040       0.841       0.556      29.838       0.095       2.473       8.452        0.13      46826.    0.3362  
       17.66      0.5651      0.6308      0.1299      0.1163       0.041       0.855       0.545      30.352       0.097       2.425       8.149        0.13      47042.    0.3210  
       19.13      0.6122      0.6588      0.1267      0.1177       0.041       0.866       0.532      30.720       0.098       2.367       7.855        0.13      47275.    0.3056  
       20.60      0.6593      0.6840      0.1229      0.1184       0.041       0.871       0.516      30.900       0.098       2.295       7.574        0.13      47523.    0.2902  
       22.07      0.7063      0.7068      0.1183      0.1182       0.041       0.869       0.497      30.850       0.098       2.210       7.304        0.13      47787.    0.2746  
       23.54      0.7534      0.7273      0.1130      0.1170       0.041       0.860       0.474      30.535       0.097       2.110       7.047        0.13      48067.    0.2589  
       25.02      0.8005      0.7457      0.1068      0.1147       0.040       0.843       0.449      29.926       0.095       1.995       6.799        0.14      48361.    0.2429  
       26.49      0.8476      0.7617      0.0999      0.1112       0.039       0.817       0.420      29.010       0.092       1.866       6.560        0.14      48670.    0.2266  
       27.96      0.8947      0.7752      0.0923      0.1065       0.037       0.783       0.387      27.787       0.088       1.723       6.324        0.14      48993.    0.2100  
       29.43      0.9418      0.7855      0.0840      0.1007       0.035       0.741       0.353      26.287       0.084       1.569       6.088        0.14      49330.    0.1929  
       30.90      0.9889      0.7918      0.0753      0.0941       0.033       0.692       0.316      24.544       0.078       1.407       5.845        0.14      49679.    0.1753  
       32.37      1.0360      0.7930      0.0663      0.0866       0.030       0.636       0.278      22.589       0.072       1.238       5.587        0.14      50042.    0.1572  
       33.85      1.0831      0.7870      0.0569      0.0784       0.027       0.576       0.239      20.449       0.065       1.064       5.304        0.14      50417.    0.1384  
       35.32      1.1301      0.7711      0.0475      0.0695       0.024       0.511       0.199      18.147       0.058       0.886       4.980        0.14      50804.    0.1186  
       36.79      1.1772      0.7404      0.0379      0.0602       0.021       0.442       0.159      15.705       0.050       0.707       4.591        0.14      51204.    0.0976  
       38.26      1.2243      0.6860      0.0282      0.0504       0.018       0.370       0.119      13.144       0.042       0.527       4.090        0.14      51614.    0.0751  
       39.73      1.2714      0.5898      0.0186      0.0402       0.014       0.296       0.078      10.489       0.033       0.348       3.386        0.14      52037.    0.0505  
       41.20      1.3185      0.4078      0.0092      0.0298       0.010       0.219       0.039       7.766       0.025       0.172       2.257        0.14      52470.    0.0237  
       42.67      1.3656     -0.0005      0.0000      0.0192       0.007       0.141       0.000       5.007       0.016       0.000      -0.003        0.14      52915.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1418      0.0872       0.072       1.139       1.059      53.923       0.129       4.708       8.904        0.17      60561.    0.4887  
        1.97      0.0472      0.0753      0.1414      0.0887       0.074       1.159       1.056      54.837       0.131       4.696       8.732        0.17      60646.    0.4786  
        3.93      0.0944      0.1473      0.1411      0.0904       0.075       1.181       1.053      55.899       0.133       4.684       8.544        0.17      60745.    0.4677  
        5.90      0.1416      0.2157      0.1407      0.0923       0.077       1.207       1.050      57.113       0.136       4.671       8.340        0.17      60859.    0.4559  
        7.87      0.1888      0.2801      0.1403      0.0945       0.078       1.236       1.047      58.476       0.140       4.658       8.123        0.17      60989.    0.4434  
        9.83      0.2360      0.3402      0.1398      0.0970       0.080       1.267       1.044      59.977       0.143       4.643       7.893        0.18      61138.    0.4302  
       11.80      0.2831      0.3959      0.1393      0.0996       0.083       1.302       1.040      61.596       0.147       4.624       7.655        0.18      61304.    0.4163  
       13.76      0.3303      0.4471      0.1385      0.1023       0.085       1.338       1.034      63.302       0.151       4.600       7.410        0.18      61491.    0.4020  
       15.73      0.3775      0.4939      0.1376      0.1052       0.087       1.375       1.027      65.053       0.155       4.569       7.162        0.18      61697.    0.3872  
       17.70      0.4247      0.5364      0.1364      0.1080       0.090       1.411       1.018      66.791       0.159       4.528       6.914        0.18      61924.    0.3721  
       19.66      0.4719      0.5748      0.1348      0.1107       0.092       1.446       1.006      68.449       0.163       4.476       6.668        0.18      62171.    0.3568  
       21.63      0.5191      0.6094      0.1328      0.1131       0.094       1.478       0.991      69.947       0.167       4.409       6.427        0.18      62440.    0.3413  
       23.60      0.5663      0.6406      0.1302      0.1151       0.095       1.504       0.972      71.194       0.170       4.324       6.193        0.18      62730.    0.3257  
       25.56      0.6135      0.6687      0.1271      0.1166       0.097       1.523       0.948      72.092       0.172       4.219       5.967        0.18      63042.    0.3100  
       27.53      0.6607      0.6941      0.1232      0.1173       0.097       1.533       0.920      72.541       0.173       4.091       5.751        0.18      63374.    0.2942  
       29.49      0.7079      0.7170      0.1186      0.1171       0.097       1.531       0.886      72.441       0.173       3.939       5.545        0.18      63728.    0.2783  
       31.46      0.7551      0.7376      0.1133      0.1159       0.096       1.515       0.845      71.703       0.171       3.761       5.348        0.18      64102.    0.2623  
       33.43      0.8022      0.7562      0.1071      0.1136       0.094       1.485       0.799      70.262       0.168       3.555       5.160        0.18      64496.    0.2461  
       35.39      0.8494      0.7725      0.1001      0.1101       0.091       1.439       0.747      68.080       0.163       3.324       4.979        0.18      64909.    0.2296  
       37.36      0.8966      0.7864      0.0924      0.1054       0.087       1.377       0.690      65.164       0.156       3.068       4.802        0.18      65342.    0.2127  
       39.33      0.9438      0.7974      0.0841      0.0996       0.083       1.301       0.628      61.579       0.147       2.793       4.625        0.18      65792.    0.1955  
       41.29      0.9910      0.8047      0.0754      0.0928       0.077       1.213       0.563      57.407       0.137       2.503       4.445        0.18      66261.    0.1779  
       43.26      1.0382      0.8071      0.0663      0.0852       0.071       1.114       0.495      52.723       0.126       2.201       4.256        0.18      66746.    0.1597  
       45.22      1.0854      0.8030      0.0569      0.0769       0.064       1.006       0.425      47.589       0.114       1.890       4.050        0.18      67248.    0.1408  
       47.19      1.1326      0.7895      0.0474      0.0680       0.056       0.889       0.354      42.060       0.100       1.574       3.816        0.19      67766.    0.1211  
       49.16      1.1798      0.7619      0.0378      0.0585       0.049       0.765       0.282      36.188       0.086       1.255       3.536        0.19      68300.    0.1002  
       51.12      1.2270      0.7115      0.0282      0.0485       0.040       0.634       0.210      30.027       0.072       0.935       3.175        0.19      68850.    0.0776  
       53.09      1.2742      0.6195      0.0186      0.0382       0.032       0.499       0.139      23.636       0.056       0.617       2.662        0.19      69415.    0.0529  
       55.06      1.3213      0.4380      0.0092      0.0276       0.023       0.361       0.068      17.083       0.041       0.304       1.815        0.19      69995.    0.0253  
       57.02      1.3685     -0.0022      0.0000      0.0169       0.014       0.221       0.000      10.441       0.025      -0.001      -0.009        0.19      70590.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       5000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1419      0.0862       0.140       1.760       1.656     104.099       0.199       7.364       7.214        0.22      75701.    0.4951  
        2.46      0.0473      0.0763      0.1416      0.0877       0.142       1.790       1.651     105.890       0.202       7.346       7.074        0.22      75807.    0.4849  
        4.92      0.0945      0.1493      0.1412      0.0894       0.145       1.825       1.647     107.975       0.206       7.327       6.920        0.22      75930.    0.4738  
        7.38      0.1418      0.2186      0.1409      0.0914       0.148       1.866       1.643     110.359       0.211       7.309       6.753        0.22      76073.    0.4618  
        9.84      0.1890      0.2838      0.1405      0.0936       0.152       1.911       1.639     113.038       0.216       7.289       6.575        0.22      76237.    0.4490  
       12.30      0.2363      0.3446      0.1400      0.0960       0.156       1.961       1.634     115.992       0.222       7.266       6.388        0.22      76422.    0.4355  
       14.77      0.2835      0.4009      0.1395      0.0987       0.160       2.015       1.627     119.182       0.228       7.238       6.193        0.22      76631.    0.4214  
       17.23      0.3308      0.4525      0.1388      0.1014       0.164       2.072       1.619     122.547       0.234       7.201       5.992        0.22      76865.    0.4067  
       19.69      0.3780      0.4997      0.1379      0.1043       0.169       2.130       1.608     126.004       0.241       7.154       5.790        0.22      77123.    0.3917  
       22.15      0.4253      0.5425      0.1367      0.1072       0.174       2.188       1.594     129.442       0.247       7.092       5.587        0.22      77407.    0.3763  
       24.61      0.4725      0.5811      0.1351      0.1099       0.178       2.244       1.576     132.728       0.253       7.011       5.386        0.22      77717.    0.3607  
       27.07      0.5198      0.6159      0.1331      0.1123       0.182       2.294       1.553     135.702       0.259       6.906       5.190        0.22      78054.    0.3450  
       29.53      0.5670      0.6472      0.1306      0.1144       0.185       2.336       1.523     138.186       0.264       6.775       4.999        0.22      78418.    0.3291  
       31.99      0.6143      0.6754      0.1274      0.1159       0.188       2.366       1.486     139.989       0.267       6.611       4.816        0.22      78808.    0.3132  
       34.45      0.6615      0.7008      0.1236      0.1166       0.189       2.382       1.441     140.908       0.269       6.412       4.640        0.22      79225.    0.2972  
       36.91      0.7088      0.7238      0.1190      0.1165       0.189       2.379       1.388     140.747       0.269       6.173       4.473        0.22      79667.    0.2811  
       39.38      0.7560      0.7446      0.1136      0.1153       0.187       2.355       1.325     139.328       0.266       5.894       4.313        0.22      80136.    0.2649  
       41.84      0.8033      0.7633      0.1074      0.1130       0.183       2.308       1.253     136.523       0.261       5.572       4.162        0.23      80630.    0.2485  
       44.30      0.8505      0.7799      0.1004      0.1095       0.177       2.236       1.171     132.256       0.253       5.209       4.016        0.23      81148.    0.2318  
       46.76      0.8978      0.7942      0.0927      0.1047       0.170       2.139       1.081     126.536       0.242       4.808       3.874        0.23      81690.    0.2148  
       49.22      0.9450      0.8057      0.0843      0.0989       0.160       2.020       0.984     119.491       0.228       4.375       3.734        0.23      82254.    0.1975  
       51.68      0.9923      0.8137      0.0755      0.0921       0.149       1.881       0.881     111.284       0.213       3.920       3.592        0.23      82841.    0.1798  
       54.14      1.0395      0.8172      0.0664      0.0845       0.137       1.725       0.775     102.057       0.195       3.446       3.443        0.23      83449.    0.1616  
       56.60      1.0868      0.8144      0.0570      0.0761       0.123       1.554       0.665      91.933       0.176       2.959       3.282        0.23      84078.    0.1428  
