         10x5M-LH                 (10x5M-LH.dat)
         v2022-0915
         Simulation Date: 06/12/2024

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
        4.77      0.5034      0.6814      0.0316      0.0234       0.153       9.667       8.222     114.368       1.092      36.573      32.608       44.19     167096.    0.1921
        4.98      0.5262      0.6691      0.0271      0.0214       0.140       8.834       7.057     104.513       0.998      31.389      30.626       44.24     167443.    0.1672
        5.20      0.5491      0.6471      0.0226      0.0192       0.126       7.944       5.882      93.990       0.898      26.164      28.386       44.29     167802.    0.1414
        5.42      0.5720      0.6115      0.0181      0.0169       0.111       7.000       4.702      82.820       0.791      20.916      25.752       44.35     168174.    0.1147
        5.63      0.5949      0.5553      0.0135      0.0145       0.095       6.004       3.521      71.036       0.678      15.663      22.483       44.41     168557.    0.0867
        5.85      0.6178      0.4646      0.0090      0.0120       0.079       4.959       2.343      58.673       0.560      10.423      18.115       44.47     168952.    0.0570
        6.07      0.6406      0.3086      0.0045      0.0093       0.061       3.867       1.170      45.748       0.437       5.206      11.603       44.53     169355.    0.0258
        6.28      0.6635     -0.0114     -0.0001      0.0065       0.043       2.694      -0.029      31.877       0.304      -0.130      -0.415       44.60     169717.    0.0000



         PROP RPM =       1100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1033      0.0356       0.311      17.813      32.491     231.828       2.013     144.521      63.569       48.00     178519.    0.7444
        0.24      0.0229      0.0646      0.1015      0.0360       0.314      18.003      31.932     234.299       2.034     142.032      61.815       48.00     178644.    0.7177
        0.48      0.0458      0.1256      0.0996      0.0363       0.317      18.176      31.333     236.542       2.053     139.370      60.081       48.00     178778.    0.6910
        0.72      0.0686      0.1830      0.0976      0.0366       0.320      18.326      30.694     238.501       2.070     136.527      58.372       48.01     178921.    0.6644
        0.95      0.0915      0.2370      0.0954      0.0369       0.322      18.450      30.012     240.116       2.084     133.492      56.691       48.02     179075.    0.6381
        1.19      0.1144      0.2876      0.0931      0.0370       0.324      18.543      29.283     241.318       2.095     130.252      55.039       48.03     179238.    0.6119
        1.43      0.1373      0.3349      0.0906      0.0372       0.325      18.598      28.505     242.036       2.101     126.792      53.419       48.04     179413.    0.5860
        1.67      0.1602      0.3791      0.0880      0.0372       0.325      18.610      27.675     242.190       2.102     123.101      51.830       48.06     179598.    0.5602
        1.91      0.1831      0.4203      0.0852      0.0371       0.324      18.572      26.791     241.703       2.098     119.166      50.275       48.08     179794.    0.5346
        2.15      0.2059      0.4585      0.0822      0.0369       0.323      18.480      25.851     240.507       2.088     114.985      48.752       48.10     180002.    0.5093
        2.38      0.2288      0.4939      0.0790      0.0366       0.320      18.331      24.858     238.559       2.071     110.568      47.262       48.12     180221.    0.4841
        2.62      0.2517      0.5265      0.0757      0.0362       0.316      18.121      23.815     235.836       2.047     105.930      45.802       48.15     180452.    0.4592
        2.86      0.2746      0.5564      0.0723      0.0357       0.312      17.851      22.727     232.324       2.017     101.089      44.370       48.18     180695.    0.4346
        3.10      0.2975      0.5836      0.0687      0.0350       0.306      17.520      21.596     228.007       1.979      96.061      42.961       48.21     180950.    0.4102
        3.34      0.3204      0.6082      0.0649      0.0342       0.299      17.125      20.427     222.871       1.935      90.858      41.571       48.25     181216.    0.3860
        3.58      0.3432      0.6300      0.0611      0.0333       0.291      16.666      19.221     216.900       1.883      85.493      40.193       48.28     181496.    0.3620
        3.81      0.3661      0.6491      0.0572      0.0322       0.282      16.142      17.981     210.076       1.824      79.978      38.821       48.32     181787.    0.3382
        4.05      0.3890      0.6652      0.0531      0.0311       0.271      15.551      16.709     202.381       1.757      74.321      37.447       48.36     182092.    0.3145
        4.29      0.4119      0.6783      0.0490      0.0297       0.260      14.891      15.408     193.800       1.682      68.533      36.060       48.41     182409.    0.2908
        4.53      0.4348      0.6879      0.0448      0.0283       0.247      14.163      14.079     184.319       1.600      62.625      34.646       48.45     182739.    0.2671
        4.77      0.4577      0.6936      0.0405      0.0267       0.233      13.364      12.726     173.926       1.510      56.607      33.188       48.50     183081.    0.2432
        5.01      0.4805      0.6948      0.0361      0.0250       0.218      12.495      11.351     162.614       1.412      50.490      31.661       48.55     183437.    0.2192
        5.24      0.5034      0.6904      0.0317      0.0231       0.202      11.555       9.957     150.383       1.306      44.289      30.032       48.61     183806.    0.1947
        5.48      0.5263      0.6790      0.0272      0.0211       0.184      10.545       8.547     137.241       1.191      38.019      28.249       48.67     184188.    0.1697
        5.72      0.5492      0.6580      0.0227      0.0189       0.165       9.467       7.127     123.204       1.070      31.699      26.236       48.72     184584.    0.1439
        5.96      0.5721      0.6235      0.0181      0.0166       0.145       8.322       5.699     108.303       0.940      25.350      23.868       48.79     184992.    0.1171
        6.20      0.5950      0.5685      0.0136      0.0142       0.124       7.114       4.271      92.582       0.804      18.996      20.923       48.85     185414.    0.0888
        6.44      0.6178      0.4787      0.0090      0.0117       0.102       5.846       2.846      76.086       0.661      12.660      16.967       48.92     185848.    0.0588
        6.67      0.6407      0.3220      0.0045      0.0090       0.079       4.521       1.427      58.840       0.511       6.349      11.003       48.98     186292.    0.0270
        6.91      0.6636     -0.0083     -0.0001      0.0062       0.054       3.098      -0.024      40.316       0.350      -0.108      -0.273       49.06     186689.    0.0000



         PROP RPM =       1200

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1033      0.0353       0.401      21.043      38.674     298.753       2.377     172.022      58.715       52.36     194748.    0.7502
        0.26      0.0229      0.0651      0.1015      0.0357       0.405      21.270      38.008     301.983       2.403     169.058      57.086       52.36     194884.    0.7231
        0.52      0.0458      0.1266      0.0996      0.0361       0.409      21.477      37.295     304.918       2.426     165.887      55.476       52.37     195030.    0.6961
        0.78      0.0687      0.1845      0.0976      0.0364       0.412      21.658      36.533     307.484       2.447     162.501      53.891       52.37     195187.    0.6692
        1.04      0.0916      0.2389      0.0954      0.0366       0.415      21.807      35.721     309.601       2.464     158.885      52.331       52.38     195355.    0.6426
        1.30      0.1145      0.2899      0.0931      0.0368       0.417      21.918      34.853     311.182       2.476     155.025      50.800       52.39     195534.    0.6162
        1.56      0.1374      0.3376      0.0906      0.0369       0.419      21.985      33.926     312.132       2.484     150.903      49.299       52.41     195724.    0.5899
        1.82      0.1604      0.3821      0.0880      0.0369       0.419      22.000      32.937     312.348       2.486     146.504      47.829       52.43     195926.    0.5640
        2.08      0.1833      0.4235      0.0852      0.0369       0.418      21.957      31.883     311.727       2.481     141.815      46.390       52.45     196141.    0.5382
        2.34      0.2062      0.4620      0.0822      0.0367       0.416      21.848      30.763     310.184       2.468     136.832      44.983       52.47     196368.    0.5126
        2.60      0.2291      0.4976      0.0790      0.0364       0.413      21.670      29.579     307.660       2.448     131.568      43.607       52.50     196607.    0.4873
        2.86      0.2520      0.5305      0.0757      0.0360       0.408      21.421      28.336     304.127       2.420     126.040      42.260       52.53     196860.    0.4622
        3.12      0.2749      0.5607      0.0722      0.0354       0.402      21.100      27.039     299.564       2.384     120.271      40.940       52.56     197125.    0.4374
        3.38      0.2978      0.5881      0.0686      0.0348       0.394      20.705      25.692     293.952       2.339     114.279      39.643       52.59     197403.    0.4128
        3.64      0.3207      0.6129      0.0649      0.0340       0.385      20.234      24.298     287.271       2.286     108.079      38.364       52.63     197695.    0.3885
        3.90      0.3436      0.6351      0.0611      0.0330       0.375      19.687      22.861     279.499       2.224     101.686      37.099       52.67     198000.    0.3644
        4.16      0.3665      0.6544      0.0571      0.0320       0.363      19.061      21.383     270.614       2.153      95.113      35.840       52.72     198319.    0.3405
        4.43      0.3894      0.6709      0.0531      0.0308       0.349      18.355      19.868     260.594       2.074      88.372      34.580       52.76     198652.    0.3167
        4.69      0.4123      0.6843      0.0489      0.0295       0.334      17.568      18.317     249.416       1.985      81.476      33.311       52.81     198998.    0.2929
        4.95      0.4352      0.6943      0.0447      0.0280       0.318      16.698      16.735     237.062       1.886      74.436      32.019       52.86     199359.    0.2691
        5.21      0.4581      0.7004      0.0404      0.0264       0.300      15.744      15.123     223.517       1.779      67.266      30.687       52.91     199733.    0.2452
        5.47      0.4811      0.7021      0.0360      0.0247       0.280      14.705      13.484     208.774       1.661      59.979      29.295       52.97     200122.    0.2210
        5.73      0.5040      0.6982      0.0316      0.0228       0.259      13.582      11.824     192.831       1.534      52.591      27.811       53.03     200525.    0.1965
        5.99      0.5269      0.6874      0.0271      0.0208       0.236      12.375      10.144     175.698       1.398      45.123      26.188       53.09     200943.    0.1714
        6.25      0.5498      0.6671      0.0226      0.0186       0.211      11.086       8.452     157.398       1.253      37.595      24.356       53.16     201375.    0.1455
        6.51      0.5727      0.6333      0.0180      0.0163       0.185       9.718       6.752     137.971       1.098      30.034      22.197       53.22     201822.    0.1185
        6.77      0.5956      0.5787      0.0135      0.0139       0.158       8.274       5.051     117.475       0.935      22.468      19.503       53.29     202283.    0.0901
        7.03      0.6185      0.4886      0.0090      0.0113       0.129       6.760       3.355      95.969       0.764      14.923      15.857       53.36     202757.    0.0597
        7.29      0.6414      0.3286      0.0045      0.0087       0.099       5.176       1.666      73.482       0.585       7.410      10.283       53.44     203242.    0.0273
        7.55      0.6643     -0.0230     -0.0002      0.0058       0.066       3.461      -0.075      49.139       0.391      -0.334      -0.694       53.52     203656.    0.0000



         PROP RPM =       1300

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1033      0.0351       0.506      24.535      45.395     377.364       2.772     201.918      54.562       56.72     210977.    0.7553
        0.28      0.0229      0.0656      0.1016      0.0355       0.512      24.804      44.613     381.496       2.802     198.438      53.041       56.72     211125.    0.7279
        0.56      0.0458      0.1275      0.0997      0.0358       0.517      25.048      43.776     385.253       2.830     194.715      51.539       56.73     211283.    0.7006
        0.85      0.0688      0.1858      0.0976      0.0361       0.521      25.262      42.882     388.539       2.854     190.738      50.059       56.74     211453.    0.6735
        1.13      0.0917      0.2405      0.0954      0.0364       0.525      25.438      41.927     391.254       2.874     186.492      48.605       56.75     211635.    0.6466
        1.41      0.1146      0.2918      0.0931      0.0366       0.527      25.570      40.908     393.288       2.889     181.958      47.178       56.76     211829.    0.6199
        1.69      0.1375      0.3398      0.0906      0.0367       0.529      25.650      39.819     394.516       2.898     177.117      45.780       56.78     212035.    0.5935
        1.98      0.1605      0.3846      0.0880      0.0367       0.529      25.669      38.658     394.808       2.900     171.950      44.411       56.80     212255.    0.5673
        2.26      0.1834      0.4263      0.0852      0.0366       0.528      25.619      37.419     394.035       2.894     166.442      43.073       56.82     212487.    0.5413
        2.54      0.2063      0.4650      0.0822      0.0365       0.526      25.492      36.104     392.085       2.880     160.589      41.765       56.85     212734.    0.5156
        2.82      0.2292      0.5009      0.0790      0.0362       0.522      25.284      34.713     388.886       2.857     154.404      40.487       56.87     212993.    0.4901
        3.10      0.2522      0.5340      0.0757      0.0357       0.515      24.992      33.253     384.398       2.824     147.911      39.237       56.91     213267.    0.4649
        3.39      0.2751      0.5644      0.0722      0.0352       0.508      24.615      31.730     378.596       2.781     141.133      38.013       56.94     213555.    0.4399
        3.67      0.2980      0.5921      0.0686      0.0345       0.498      24.151      30.147     371.457       2.729     134.094      36.811       56.98     213857.    0.4153
        3.95      0.3209      0.6171      0.0649      0.0338       0.487      23.598      28.510     362.953       2.666     126.811      35.627       57.02     214173.    0.3908
        4.23      0.3439      0.6395      0.0611      0.0328       0.473      22.955      26.821     353.057       2.593     119.301      34.457       57.06     214504.    0.3666
        4.52      0.3668      0.6591      0.0571      0.0318       0.458      22.219      25.085     341.739       2.510     111.580      33.294       57.11     214850.    0.3426
        4.80      0.3897      0.6758      0.0531      0.0306       0.441      21.389      23.305     328.971       2.416     103.663      32.132       57.16     215211.    0.3187
        5.08      0.4126      0.6895      0.0489      0.0293       0.422      20.463      21.484     314.725       2.312      95.562      30.962       57.21     215586.    0.2949
        5.36      0.4356      0.6999      0.0447      0.0278       0.401      19.439      19.625     298.976       2.196      87.294      29.773       57.27     215977.    0.2710
        5.64      0.4585      0.7064      0.0404      0.0262       0.378      18.316      17.732     281.708       2.069      78.872      28.550       57.32     216384.    0.2470
        5.93      0.4814      0.7086      0.0360      0.0244       0.353      17.094      15.808     262.908       1.931      70.314      27.272       57.39     216806.    0.2228
        6.21      0.5043      0.7053      0.0315      0.0226       0.325      15.772      13.858     242.575       1.782      61.639      25.911       57.45     217243.    0.1982
        6.49      0.5273      0.6950      0.0271      0.0205       0.296      14.351      11.886     220.724       1.621      52.868      24.425       57.52     217696.    0.1730
        6.77      0.5502      0.6754      0.0225      0.0184       0.265      12.833       9.899     197.383       1.450      44.029      22.746       57.59     218165.    0.1470
        7.06      0.5731      0.6423      0.0180      0.0161       0.231      11.222       7.903     172.604       1.268      35.152      20.767       57.66     218649.    0.1199
        7.34      0.5960      0.5883      0.0134      0.0136       0.196       9.522       5.906     146.460       1.076      26.270      18.290       57.74     219149.    0.0913
        7.62      0.6190      0.4983      0.0089      0.0111       0.160       7.739       3.915     119.028       0.874      17.413      14.918       57.81     219664.    0.0606
        7.90      0.6419      0.3360      0.0044      0.0084       0.121       5.874       1.932      90.344       0.664       8.593       9.700       57.90     220190.    0.0277
        8.18      0.6648     -0.0352     -0.0003      0.0055       0.079       3.838      -0.128      59.032       0.434      -0.568      -0.981       57.98     220615.    0.0000



         PROP RPM =       1400

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1034      0.0349       0.628      28.290      52.655     468.588       3.196     234.210      50.967       61.09     227206.    0.7598
        0.30      0.0229      0.0661      0.1016      0.0353       0.635      28.603      51.747     473.777       3.232     230.171      49.540       61.09     227365.    0.7322
        0.61      0.0459      0.1284      0.0997      0.0356       0.642      28.888      50.776     478.498       3.264     225.850      48.130       61.09     227536.    0.7046
        0.91      0.0688      0.1870      0.0976      0.0359       0.647      29.138      49.738     482.629       3.292     221.236      46.743       61.10     227719.    0.6773
        1.22      0.0918      0.2420      0.0955      0.0362       0.652      29.344      48.630     486.046       3.315     216.308      45.381       61.11     227915.    0.6502
        1.52      0.1147      0.2936      0.0931      0.0364       0.655      29.499      47.447     488.610       3.333     211.045      44.045       61.13     228124.    0.6233
        1.82      0.1377      0.3419      0.0906      0.0365       0.657      29.593      46.184     490.166       3.343     205.426      42.736       61.15     228347.    0.5967
        2.13      0.1606      0.3869      0.0880      0.0365       0.658      29.616      44.835     490.551       3.346     199.427      41.455       61.17     228583.    0.5703
        2.43      0.1835      0.4289      0.0852      0.0365       0.657      29.559      43.398     489.601       3.340     193.033      40.204       61.19     228834.    0.5441
        2.74      0.2065      0.4678      0.0822      0.0363       0.653      29.412      41.870     487.177       3.323     186.237      38.982       61.22     229100.    0.5182
        3.04      0.2294      0.5039      0.0790      0.0360       0.648      29.172      40.256     483.188       3.296     179.057      37.788       61.25     229380.    0.4926
        3.35      0.2524      0.5371      0.0757      0.0356       0.640      28.833      38.561     477.586       3.258     171.519      36.622       61.28     229675.    0.4672
        3.65      0.2753      0.5677      0.0722      0.0350       0.631      28.396      36.792     470.338       3.208     163.651      35.480       61.32     229985.    0.4422
        3.95      0.2982      0.5956      0.0686      0.0344       0.619      27.857      34.955     461.412       3.147     155.478      34.360       61.36     230310.    0.4174
        4.26      0.3212      0.6209      0.0649      0.0336       0.605      27.215      33.054     450.776       3.075     147.023      33.259       61.40     230652.    0.3928
        4.56      0.3441      0.6434      0.0610      0.0326       0.588      26.467      31.094     438.394       2.990     138.305      32.170       61.45     231009.    0.3686
        4.87      0.3671      0.6633      0.0571      0.0316       0.569      25.612      29.079     424.229       2.894     129.342      31.090       61.50     231381.    0.3444
        5.17      0.3900      0.6803      0.0530      0.0304       0.547      24.647      27.012     408.245       2.785     120.151      30.011       61.56     231770.    0.3205
        5.47      0.4130      0.6943      0.0489      0.0291       0.524      23.570      24.898     390.406       2.663     110.748      28.927       61.61     232176.    0.2965
        5.78      0.4359      0.7049      0.0446      0.0276       0.497      22.379      22.741     370.684       2.528     101.150      27.825       61.67     232597.    0.2726
        6.08      0.4588      0.7119      0.0403      0.0260       0.468      21.074      20.543     349.055       2.381      91.375      26.694       61.73     233036.    0.2486
        6.39      0.4818      0.7144      0.0359      0.0242       0.437      19.652      18.310     325.506       2.220      81.442      25.513       61.80     233491.    0.2243
        6.69      0.5047      0.7116      0.0315      0.0223       0.402      18.114      16.046     300.034       2.047      71.373      24.257       61.87     233962.    0.1996
        7.00      0.5277      0.7019      0.0270      0.0203       0.366      16.461      13.758     272.657       1.860      61.195      22.886       61.94     234451.    0.1744
        7.30      0.5506      0.6829      0.0225      0.0181       0.326      14.696      11.452     243.413       1.660      50.937      21.339       62.02     234956.    0.1484
        7.60      0.5736      0.6504      0.0179      0.0158       0.285      12.821       9.136     212.367       1.449      40.636      19.512       62.10     235479.    0.1212
        7.91      0.5965      0.5970      0.0134      0.0134       0.241      10.844       6.819     179.611       1.225      30.331      17.220       62.18     236018.    0.0924
        8.21      0.6194      0.5070      0.0089      0.0108       0.195       8.769       4.509     145.241       0.991      20.056      14.081       62.26     236573.    0.0614
        8.52      0.6424      0.3422      0.0043      0.0081       0.147       6.599       2.209     109.299       0.746       9.824       9.166       62.35     237140.    0.0280
        8.82      0.6653     -0.0539     -0.0004      0.0052       0.093       4.195      -0.214      69.482       0.474      -0.950      -1.395       62.44     237545.    0.0000



         PROP RPM =       1500

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1034      0.0347       0.769      32.307      60.453     573.347       3.650     268.896      47.824       65.45     243435.    0.7639
        0.33      0.0233      0.0674      0.1016      0.0351       0.778      32.674      59.394     579.852       3.691     264.187      46.459       65.45     243608.    0.7356
        0.66      0.0466      0.1309      0.0996      0.0355       0.786      33.007      58.261     585.760       3.729     259.144      45.113       65.46     243794.    0.7075
        0.99      0.0699      0.1906      0.0975      0.0358       0.792      33.297      57.049     590.916       3.762     253.752      43.789       65.47     243994.    0.6795
        1.32      0.0932      0.2466      0.0953      0.0360       0.798      33.536      55.753     595.159       3.789     247.989      42.489       65.48     244208.    0.6518
        1.65      0.1165      0.2990      0.0930      0.0362       0.802      33.714      54.368     598.310       3.809     241.827      41.215       65.49     244437.    0.6244
        1.99      0.1398      0.3479      0.0904      0.0363       0.805      33.818      52.887     600.165       3.821     235.241      39.969       65.51     244680.    0.5972
        2.32      0.1631      0.3935      0.0877      0.0364       0.805      33.838      51.305     600.515       3.823     228.204      38.751       65.54     244939.    0.5703
        2.65      0.1864      0.4359      0.0848      0.0363       0.803      33.761      49.617     599.151       3.814     220.697      37.561       65.56     245214.    0.5436
        2.98      0.2097      0.4753      0.0818      0.0361       0.799      33.578      47.823     595.899       3.794     212.717      36.401       65.60     245505.    0.5172
        3.31      0.2330      0.5116      0.0785      0.0358       0.792      33.282      45.927     590.649       3.760     204.284      35.268       65.63     245812.    0.4911
        3.64      0.2563      0.5452      0.0751      0.0353       0.782      32.870      43.937     583.344       3.714     195.433      34.163       65.67     246135.    0.4652
        3.97      0.2796      0.5759      0.0716      0.0347       0.770      32.341      41.861     573.941       3.654     186.198      33.082       65.71     246476.    0.4397
        4.30      0.3028      0.6039      0.0679      0.0340       0.754      31.690      39.705     562.400       3.580     176.607      32.021       65.75     246833.    0.4145
        4.63      0.3261      0.6292      0.0641      0.0332       0.736      30.917      37.474     548.677       3.493     166.686      30.979       65.80     247208.    0.3896
        4.96      0.3494      0.6517      0.0601      0.0322       0.714      30.018      35.175     532.725       3.391     156.459      29.949       65.85     247600.    0.3649
        5.29      0.3727      0.6714      0.0561      0.0311       0.690      28.991      32.812     514.497       3.275     145.947      28.926       65.91     248010.    0.3404
        5.63      0.3960      0.6882      0.0520      0.0299       0.662      27.833      30.389     493.946       3.145     135.170      27.905       65.97     248438.    0.3160
        5.96      0.4193      0.7018      0.0477      0.0285       0.632      26.542      27.911     471.028       2.999     124.148      26.877       66.03     248883.    0.2917
        6.29      0.4426      0.7120      0.0434      0.0270       0.598      25.115      25.382     445.706       2.837     112.901      25.830       66.10     249347.    0.2674
        6.62      0.4659      0.7181      0.0390      0.0253       0.560      23.551      22.808     417.953       2.661     101.451      24.752       66.17     249830.    0.2429
        6.95      0.4892      0.7196      0.0345      0.0235       0.520      21.849      20.194     387.756       2.469      89.821      23.621       66.24     250330.    0.2181
        7.28      0.5125      0.7152      0.0300      0.0215       0.476      20.010      17.545     355.121       2.261      78.041      22.409       66.32     250849.    0.1928
        7.61      0.5358      0.7031      0.0254      0.0194       0.429      18.036      14.870     320.076       2.038      66.143      21.072       66.39     251387.    0.1669
        7.94      0.5591      0.6803      0.0208      0.0171       0.379      15.929      12.178     282.684       1.800      54.166      19.539       66.48     251944.    0.1401
        8.27      0.5824      0.6415      0.0162      0.0147       0.326      13.695       9.477     243.040       1.547      42.155      17.687       66.57     252519.    0.1119
        8.60      0.6057      0.5763      0.0116      0.0122       0.270      11.341       6.780     201.272       1.281      30.156      15.278       66.66     253113.    0.0817
        8.93      0.6290      0.4617      0.0070      0.0095       0.211       8.874       4.093     157.491       1.003      18.205      11.787       66.75     253723.    0.0490
        9.27      0.6523      0.2330      0.0024      0.0068       0.150       6.289       1.412     111.607       0.711       6.279       5.737       66.85     254339.    0.0140
        9.60      0.6756



         PROP RPM =       1600

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1034      0.0345       0.929      36.586      68.790     692.565       4.133     305.978      45.051       69.81     259664.    0.7677
        0.35      0.0229      0.0667      0.1016      0.0349       0.939      36.998      67.605     700.370       4.180     300.707      43.782       69.82     259846.    0.7396
        0.69      0.0459      0.1296      0.0997      0.0353       0.949      37.374      66.338     707.478       4.222     295.069      42.530       69.82     260041.    0.7117
        1.04      0.0688      0.1887      0.0977      0.0356       0.957      37.703      64.984     713.707       4.260     289.047      41.298       69.83     260250.    0.6840
        1.39      0.0917      0.2443      0.0955      0.0359       0.964      37.976      63.538     718.873       4.290     282.617      40.089       69.84     260474.    0.6565
        1.74      0.1147      0.2963      0.0932      0.0361       0.969      38.181      61.994     722.766       4.314     275.749      38.904       69.86     260713.    0.6293
        2.08      0.1376      0.3450      0.0907      0.0362       0.972      38.307      60.345     725.157       4.328     268.416      37.745       69.88     260967.    0.6024
        2.43      0.1605      0.3904      0.0880      0.0362       0.973      38.341      58.585     725.799       4.332     260.588      36.611       69.90     261237.    0.5757
        2.78      0.1835      0.4327      0.0852      0.0361       0.972      38.270      56.709     724.451       4.324     252.243      35.505       69.93     261524.    0.5493
        3.13      0.2064      0.4720      0.0822      0.0360       0.967      38.083      54.716     720.902       4.303     243.375      34.425       69.96     261827.    0.5232
        3.47      0.2293      0.5083      0.0791      0.0357       0.959      37.772      52.609     715.016       4.267     234.004      33.372       70.00     262147.    0.4973
        3.82      0.2523      0.5420      0.0757      0.0353       0.948      37.333      50.397     706.719       4.218     224.165      32.345       70.04     262484.    0.4718
        4.17      0.2752      0.5729      0.0723      0.0347       0.933      36.765      48.088     695.960       4.154     213.897      31.340       70.08     262838.    0.4465
        4.52      0.2981      0.6011      0.0687      0.0341       0.916      36.064      45.690     682.691       4.075     203.230      30.356       70.13     263210.    0.4216
        4.86      0.3211      0.6267      0.0649      0.0333       0.894      35.228      43.209     666.864       3.980     192.196      29.389       70.18     263600.    0.3969
        5.21      0.3440      0.6497      0.0611      0.0323       0.870      34.254      40.652     648.423       3.870     180.818      28.436       70.23     264007.    0.3725
        5.56      0.3669      0.6700      0.0571      0.0313       0.841      33.139      38.022     627.313       3.744     169.121      27.491       70.29     264433.    0.3483
        5.91      0.3899      0.6875      0.0531      0.0301       0.809      31.880      35.325     603.478       3.602     157.126      26.550       70.35     264877.    0.3242
        6.25      0.4128      0.7021      0.0489      0.0288       0.774      30.474      32.566     576.868       3.443     144.855      25.606       70.41     265340.    0.3002
        6.60      0.4357      0.7134      0.0447      0.0273       0.734      28.919      29.750     547.436       3.267     132.330      24.649       70.48     265822.    0.2762
        6.95      0.4587      0.7211      0.0404      0.0257       0.691      27.214      26.883     515.148       3.075     119.574      23.669       70.55     266322.    0.2521
        7.30      0.4816      0.7245      0.0360      0.0239       0.644      25.356      23.969     479.983       2.865     106.612      22.650       70.63     266842.    0.2278
        7.64      0.5045      0.7228      0.0316      0.0220       0.593      23.346      21.015     441.938       2.638      93.474      21.568       70.71     267380.    0.2031
        7.99      0.5274      0.7144      0.0271      0.0200       0.538      21.185      18.029     401.038       2.394      80.192      20.390       70.79     267938.    0.1779
        8.34      0.5504      0.6970      0.0226      0.0178       0.479      18.877      15.020     357.340       2.133      66.807      19.064       70.88     268516.    0.1518
        8.69      0.5733      0.6665      0.0180      0.0155       0.417      16.426      11.998     310.942       1.856      53.367      17.501       70.97     269112.    0.1245
        9.03      0.5962      0.6154      0.0135      0.0131       0.351      13.839       8.975     261.978       1.564      39.920      15.538       71.06     269728.    0.0956
        9.38      0.6192      0.5280      0.0090      0.0105       0.282      11.125       5.961     210.597       1.257      26.513      12.838       71.16     270362.    0.0644
        9.73      0.6421      0.3650      0.0044      0.0078       0.210       8.286       2.959     156.860       0.936      13.163       8.557       71.26     271010.    0.0302
       10.08      0.6650     -0.0357     -0.0003      0.0049       0.131       5.170      -0.174      97.872       0.584      -0.776      -0.808       71.36     271511.    0.0000



         PROP RPM =       1700

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1034      0.0344       1.109      41.126      77.665     827.163       4.646     345.455      42.587       74.18     275893.    0.7711
        0.37      0.0232      0.0676      0.1016      0.0348       1.122      41.597      76.315     836.643       4.700     339.447      41.372       74.18     276088.    0.7425
