         15x12E                   (15x12E.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 11/02/2023                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
        4.66      0.1641      0.3196      0.1002      0.0515       0.025       0.793       0.647      18.766       0.090       2.877      15.635        0.12      42097.    0.4919  
        5.60      0.1970      0.3710      0.0989      0.0525       0.026       0.809       0.638      19.138       0.091       2.838      15.124        0.12      42160.    0.4726  
        6.53      0.2298      0.4184      0.0973      0.0535       0.026       0.824       0.628      19.489       0.093       2.794      14.619        0.12      42230.    0.4532  
        7.46      0.2626      0.4620      0.0956      0.0543       0.027       0.837       0.617      19.808       0.095       2.744      14.124        0.12      42306.    0.4339  
        8.39      0.2955      0.5019      0.0936      0.0551       0.027       0.849       0.604      20.083       0.096       2.686      13.640        0.12      42388.    0.4146  
        9.33      0.3283      0.5384      0.0913      0.0557       0.027       0.858       0.589      20.299       0.097       2.622      13.169        0.12      42478.    0.3955  
       10.26      0.3611      0.5717      0.0888      0.0561       0.027       0.864       0.573      20.444       0.098       2.549      12.712        0.12      42574.    0.3764  
       11.19      0.3939      0.6020      0.0859      0.0562       0.027       0.867       0.555      20.504       0.098       2.467      12.270        0.12      42677.    0.3575  
       12.12      0.4268      0.6294      0.0828      0.0561       0.027       0.865       0.534      20.464       0.098       2.376      11.841        0.12      42787.    0.3386  
       13.06      0.4596      0.6540      0.0793      0.0557       0.027       0.858       0.512      20.312       0.097       2.276      11.426        0.12      42904.    0.3197  
       13.99      0.4924      0.6760      0.0754      0.0550       0.027       0.847       0.487      20.036       0.096       2.166      11.022        0.12      43028.    0.3009  
       14.92      0.5253      0.6952      0.0713      0.0538       0.026       0.829       0.460      19.626       0.094       2.046      10.628        0.12      43158.    0.2819  
       15.85      0.5581      0.7117      0.0667      0.0523       0.026       0.806       0.431      19.077       0.091       1.915      10.239        0.12      43296.    0.2628  
       16.79      0.5909      0.7250      0.0619      0.0504       0.025       0.777       0.399      18.388       0.088       1.776       9.851        0.12      43440.    0.2435  
       17.72      0.6238      0.7347      0.0568      0.0482       0.024       0.742       0.366      17.565       0.084       1.629       9.458        0.12      43591.    0.2239  
       18.65      0.6566      0.7403      0.0514      0.0456       0.022       0.702       0.332      16.621       0.079       1.476       9.053        0.12      43748.    0.2040  
       19.59      0.6894      0.7408      0.0459      0.0427       0.021       0.658       0.296      15.566       0.074       1.317       8.628        0.12      43912.    0.1837  
       20.52      0.7222      0.7349      0.0402      0.0395       0.019       0.609       0.260      14.410       0.069       1.155       8.170        0.12      44083.    0.1628  
       21.45      0.7551      0.7207      0.0345      0.0361       0.018       0.556       0.222      13.162       0.063       0.989       7.664        0.12      44260.    0.1414  
       22.38      0.7879      0.6953      0.0286      0.0325       0.016       0.500       0.185      11.831       0.056       0.822       7.086        0.12      44443.    0.1192  
       23.32      0.8207      0.6541      0.0228      0.0286       0.014       0.441       0.147      10.425       0.050       0.654       6.399        0.12      44632.    0.0960  
       24.25      0.8536      0.5892      0.0170      0.0246       0.012       0.379       0.109       8.957       0.043       0.487       5.542        0.12      44828.    0.0717  
       25.18      0.8864      0.4861      0.0112      0.0204       0.010       0.314       0.072       7.438       0.036       0.321       4.403        0.12      45030.    0.0463  
       26.11      0.9192      0.3148      0.0055      0.0161       0.008       0.249       0.036       5.883       0.028       0.159       2.749        0.12      45238.    0.0203  
       27.05      0.9520      0.0017      0.0000      0.0118       0.006       0.182       0.000       4.306       0.021       0.001       0.014        0.12      45452.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1052      0.0447       0.074       1.550       1.527      55.007       0.175       6.792      12.591        0.18      62793.    0.6086  
        1.40      0.0329      0.0753      0.1045      0.0457       0.075       1.584       1.517      56.219       0.179       6.746      12.236        0.18      62849.    0.5894  
        2.81      0.0658      0.1460      0.1036      0.0467       0.077       1.620       1.505      57.491       0.183       6.694      11.873        0.18      62911.    0.5698  
        4.21      0.0988      0.2123      0.1027      0.0478       0.079       1.657       1.492      58.806       0.187       6.636      11.506        0.18      62981.    0.5498  
        5.61      0.1317      0.2740      0.1017      0.0489       0.081       1.694       1.477      60.142       0.191       6.569      11.138        0.18      63059.    0.5295  
        7.01      0.1646      0.3312      0.1005      0.0500       0.082       1.732       1.460      61.476       0.196       6.493      10.770        0.18      63146.    0.5090  
        8.42      0.1975      0.3840      0.0992      0.0510       0.084       1.769       1.440      62.775       0.200       6.406      10.406        0.18      63241.    0.4885  
        9.82      0.2304      0.4325      0.0976      0.0520       0.086       1.803       1.418      64.006       0.204       6.306      10.047        0.18      63346.    0.4680  
       11.22      0.2634      0.4771      0.0959      0.0529       0.087       1.835       1.392      65.128       0.207       6.193       9.697        0.18      63461.    0.4476  
       12.63      0.2963      0.5178      0.0939      0.0537       0.089       1.862       1.363      66.100       0.210       6.064       9.355        0.18      63585.    0.4273  
       14.03      0.3292      0.5550      0.0916      0.0544       0.090       1.884       1.331      66.875       0.213       5.918       9.024        0.18      63720.    0.4072  
       15.43      0.3621      0.5888      0.0891      0.0548       0.090       1.899       1.294      67.407       0.215       5.754       8.704        0.18      63865.    0.3873  
       16.83      0.3950      0.6196      0.0862      0.0550       0.091       1.906       1.252      67.647       0.215       5.570       8.396        0.18      64020.    0.3675  
       18.24      0.4280      0.6474      0.0831      0.0549       0.091       1.903       1.206      67.548       0.215       5.364       8.098        0.18      64186.    0.3479  
       19.64      0.4609      0.6725      0.0795      0.0545       0.090       1.889       1.155      67.062       0.213       5.137       7.811        0.18      64362.    0.3284  
       21.04      0.4938      0.6950      0.0757      0.0538       0.089       1.864       1.099      66.150       0.211       4.887       7.534        0.18      64549.    0.3089  
       22.45      0.5267      0.7148      0.0715      0.0526       0.087       1.825       1.038      64.777       0.206       4.615       7.265        0.18      64746.    0.2895  
       23.85      0.5596      0.7320      0.0669      0.0511       0.084       1.773       0.971      62.922       0.200       4.320       7.001        0.18      64953.    0.2699  
       25.25      0.5926      0.7462      0.0620      0.0492       0.081       1.707       0.900      60.580       0.193       4.005       6.741        0.18      65171.    0.2502  
       26.65      0.6255      0.7571      0.0568      0.0470       0.077       1.628       0.825      57.777       0.184       3.671       6.479        0.18      65398.    0.2303  
       28.06      0.6584      0.7642      0.0515      0.0443       0.073       1.537       0.747      54.551       0.174       3.324       6.213        0.18      65636.    0.2101  
       29.46      0.6913      0.7666      0.0459      0.0414       0.068       1.435       0.667      50.937       0.162       2.965       5.935        0.18      65883.    0.1896  
       30.86      0.7242      0.7630      0.0402      0.0382       0.063       1.323       0.584      46.967       0.149       2.598       5.640        0.18      66140.    0.1686  
       32.27      0.7572      0.7518      0.0344      0.0347       0.057       1.202       0.500      42.671       0.136       2.224       5.315        0.18      66406.    0.1470  
       33.67      0.7901      0.7300      0.0286      0.0310       0.051       1.073       0.415      38.080       0.121       1.847       4.946        0.18      66683.    0.1247  
       35.07      0.8230      0.6929      0.0227      0.0270       0.045       0.936       0.330      33.228       0.106       1.469       4.507        0.18      66968.    0.1013  
       36.47      0.8559      0.6323      0.0169      0.0229       0.038       0.793       0.245      28.153       0.090       1.092       3.954        0.19      67263.    0.0766  
       37.88      0.8888      0.5318      0.0111      0.0186       0.031       0.645       0.162      22.899       0.073       0.719       3.203        0.19      67568.    0.0504  
       39.28      0.9218      0.3551      0.0055      0.0142       0.023       0.494       0.080      17.517       0.056       0.354       2.062        0.19      67881.    0.0228  
       40.68      0.9547      0.0000      0.0000      0.0098       0.016       0.340       0.000      12.063       0.038       0.000       0.000        0.19      68203.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1054      0.0438       0.171       2.699       2.721     127.744       0.305      12.102       9.660        0.24      83723.    0.6233  
        1.87      0.0330      0.0770      0.1047      0.0448       0.175       2.761       2.703     130.661       0.312      12.022       9.382        0.24      83797.    0.6033  
        3.75      0.0659      0.1494      0.1039      0.0459       0.179       2.826       2.682     133.726       0.319      11.931       9.098        0.24      83880.    0.5829  
        5.62      0.0989      0.2170      0.1030      0.0469       0.184       2.893       2.659     136.898       0.327      11.828       8.811        0.24      83974.    0.5620  
        7.49      0.1319      0.2799      0.1020      0.0480       0.188       2.961       2.633     140.129       0.335      11.712       8.522        0.24      84078.    0.5410  
        9.37      0.1648      0.3381      0.1008      0.0492       0.192       3.029       2.603     143.357       0.342      11.578       8.235        0.24      84194.    0.5197  
       11.24      0.1978      0.3918      0.0995      0.0502       0.196       3.096       2.568     146.509       0.350      11.425       7.952        0.24      84321.    0.4985  
       13.11      0.2308      0.4410      0.0980      0.0513       0.200       3.159       2.529     149.501       0.357      11.249       7.673        0.24      84462.    0.4773  
       14.98      0.2637      0.4862      0.0962      0.0522       0.204       3.217       2.484     152.239       0.363      11.049       7.400        0.24      84615.    0.4563  
       16.86      0.2967      0.5274      0.0942      0.0530       0.207       3.267       2.433     154.620       0.369      10.820       7.136        0.24      84781.    0.4354  
       18.73      0.3297      0.5649      0.0920      0.0537       0.210       3.308       2.374     156.534       0.374      10.561       6.880        0.24      84961.    0.4147  
       20.60      0.3626      0.5991      0.0894      0.0541       0.212       3.336       2.309     157.866       0.377      10.269       6.633        0.24      85155.    0.3942  
       22.48      0.3956      0.6302      0.0866      0.0543       0.213       3.349       2.235     158.500       0.378       9.941       6.395        0.24      85363.    0.3740  
       24.35      0.4286      0.6583      0.0834      0.0543       0.212       3.345       2.153     158.320       0.378       9.575       6.167        0.24      85585.    0.3539  
       26.22      0.4615      0.6837      0.0799      0.0539       0.211       3.322       2.061     157.213       0.375       9.169       5.947        0.24      85820.    0.3340  
       28.10      0.4945      0.7065      0.0760      0.0532       0.208       3.277       1.961     155.079       0.370       8.723       5.736        0.24      86070.    0.3142  
       29.97      0.5275      0.7268      0.0717      0.0521       0.204       3.208       1.852     151.837       0.362       8.237       5.532        0.24      86333.    0.2945  
       31.84      0.5604      0.7444      0.0671      0.0506       0.198       3.115       1.733     147.430       0.352       7.710       5.333        0.24      86611.    0.2746  
       33.72      0.5934      0.7593      0.0622      0.0486       0.190       2.997       1.606     141.849       0.339       7.146       5.137        0.24      86901.    0.2547  
       35.59      0.6264      0.7710      0.0570      0.0463       0.181       2.856       1.473     135.153       0.323       6.550       4.942        0.24      87206.    0.2346  
       37.46      0.6593      0.7791      0.0516      0.0437       0.171       2.693       1.333     127.430       0.304       5.929       4.744        0.24      87523.    0.2143  
       39.34      0.6923      0.7829      0.0461      0.0407       0.159       2.510       1.189     118.762       0.284       5.287       4.540        0.24      87854.    0.1936  
       41.21      0.7253      0.7811      0.0403      0.0375       0.146       2.308       1.041     109.227       0.261       4.631       4.324        0.24      88197.    0.1726  
       43.08      0.7582      0.7720      0.0345      0.0339       0.133       2.090       0.891      98.896       0.236       3.964       4.088        0.24      88554.    0.1510  
       44.95      0.7912      0.7529      0.0287      0.0301       0.118       1.856       0.740      87.844       0.210       3.291       3.820        0.25      88923.    0.1286  
       46.83      0.8242      0.7192      0.0228      0.0261       0.102       1.609       0.588      76.153       0.182       2.616       3.503        0.25      89305.    0.1051  
       48.70      0.8571      0.6623      0.0169      0.0219       0.086       1.351       0.437      63.917       0.153       1.944       3.102        0.25      89699.    0.0802  
       50.57      0.8901      0.5650      0.0112      0.0176       0.069       1.083       0.288      51.242       0.122       1.281       2.549        0.25      90106.    0.0535  
       52.45      0.9231      0.3867      0.0055      0.0131       0.051       0.808       0.142      38.256       0.091       0.631       1.682        0.25      90525.    0.0248  
       54.32      0.9560      0.0008      0.0000      0.0086       0.034       0.530       0.000      25.093       0.060       0.001       0.004        0.25      90956.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       5000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1057      0.0433       0.330       4.166       4.262     246.447       0.471      18.957       7.844        0.30     104652.    0.6334  
        2.37      0.0334      0.0791      0.1050      0.0443       0.338       4.265       4.234     252.285       0.482      18.832       7.612        0.30     104745.    0.6127  
        4.74      0.0668      0.1533      0.1042      0.0454       0.347       4.369       4.202     258.430       0.494      18.692       7.375        0.30     104851.    0.5914  
        7.11      0.1001      0.2225      0.1033      0.0465       0.355       4.476       4.166     264.798       0.506      18.532       7.137        0.30     104970.    0.5698  
        9.48      0.1335      0.2868      0.1023      0.0476       0.364       4.586       4.125     271.290       0.518      18.349       6.897        0.30     105102.    0.5480  
       11.85      0.1669      0.3461      0.1011      0.0488       0.373       4.696       4.078     277.780       0.531      18.140       6.659        0.30     105249.    0.5260  
       14.23      0.2003      0.4006      0.0998      0.0499       0.381       4.803       4.024     284.117       0.543      17.898       6.424        0.30     105412.    0.5041  
       16.60      0.2337      0.4506      0.0982      0.0509       0.389       4.904       3.961     290.127       0.554      17.620       6.193        0.30     105591.    0.4822  
       18.97      0.2671      0.4963      0.0964      0.0519       0.396       4.997       3.890     295.615       0.565      17.302       5.968        0.30     105787.    0.4605  
       21.34      0.3004      0.5379      0.0944      0.0527       0.403       5.078       3.808     300.368       0.574      16.938       5.750        0.30     105999.    0.4389  
       23.71      0.3338      0.5758      0.0921      0.0534       0.408       5.142       3.715     304.159       0.581      16.524       5.540        0.30     106229.    0.4177  
       26.08      0.3672      0.6102      0.0895      0.0539       0.411       5.185       3.610     306.752       0.586      16.056       5.337        0.30     106477.    0.3967  
       28.45      0.4006      0.6415      0.0866      0.0541       0.413       5.205       3.491     307.904       0.588      15.529       5.143        0.30     106743.    0.3759  
       30.82      0.4340      0.6697      0.0833      0.0540       0.412       5.196       3.359     307.376       0.587      14.941       4.957        0.30     107026.    0.3553  
       33.19      0.4674      0.6953      0.0796      0.0535       0.409       5.155       3.212     304.942       0.582      14.288       4.778        0.30     107328.    0.3350  
       35.56      0.5007      0.7182      0.0756      0.0527       0.403       5.078       3.051     300.397       0.574      13.569       4.606        0.30     107647.    0.3147  
       37.93      0.5341      0.7385      0.0713      0.0515       0.394       4.963       2.874     293.578       0.561      12.785       4.441        0.30     107984.    0.2945  
       40.31      0.5675      0.7562      0.0665      0.0499       0.381       4.807       2.683     284.383       0.543      11.936       4.280        0.30     108339.    0.2742  
       42.68      0.6009      0.7712      0.0615      0.0479       0.366       4.612       2.479     272.814       0.521      11.028       4.122        0.30     108711.    0.2539  
       45.05      0.6343      0.7830      0.0561      0.0455       0.347       4.378       2.264     259.011       0.495      10.071       3.965        0.30     109100.    0.2334  
       47.42      0.6676      0.7912      0.0506      0.0427       0.326       4.110       2.040     243.151       0.464       9.075       3.806        0.30     109506.    0.2127  
       49.79      0.7010      0.7949      0.0449      0.0396       0.302       3.810       1.810     225.398       0.430       8.050       3.642        0.30     109929.    0.1916  
