station_idx,r_over_R,X,Y,Z
0,0.0,5.204177777777777e-05,0.0,0.0127
0,0.0,0.00025782085470085466,0.0,0.012445999999999999
0,0.0,0.000463148376068376,0.0,0.012191999999999998
0,0.0,0.0006675033162393162,0.0,0.011937999999999997
0,0.0,0.0008703907008547006,0.0,0.011684
0,0.0,0.0012699044786324786,0.0,0.011175999999999998
0,0.0,0.001659952957264957,0.0,0.010668
0,0.0,0.0020409008547008544,0.0,0.010159999999999999
0,0.0,0.0024131389401709402,0.0,0.009652
0,0.0,0.002776545641025641,0.0,0.009144
0,0.0,0.0031308083418803414,0.0,0.008635999999999998
0,0.0,0.003475631794871794,0.0,0.008128
0,0.0,0.003810746803418803,0.0,0.007620000000000002
0,0.0,0.004135910222222222,0.0,0.007112
0,0.0,0.004450991794871795,0.0,0.006603999999999999
0,0.0,0.004755878632478632,0.0,0.006096000000000001
0,0.0,0.00505046652991453,0.0,0.005587999999999999
0,0.0,0.005334686017094016,0.0,0.005079999999999998
0,0.0,0.005608346051282051,0.0,0.004572
0,0.0,0.005870621675213675,0.0,0.004064000000000002
0,0.0,0.006120505572649572,0.0,0.003556
0,0.0,0.006356990427350427,0.0,0.0030479999999999986
0,0.0,0.006579103658119658,0.0,0.002539999999999999
0,0.0,0.006785933470085469,0.0,0.002031999999999999
0,0.0,0.006977228034188034,0.0,0.001524000000000001
0,0.0,0.00715291788034188,0.0,0.0010160000000000013
0,0.0,0.00731298564102564,0.0,0.0005079999999999998
0,0.0,0.007457370529914529,0.0,0.0
0,0.0,0.007585890188034188,0.0,-0.0005079999999999998
0,0.0,0.0076975199316239315,0.0,-0.0010159999999999995
0,0.0,0.007790852991452992,0.0,-0.0015239999999999993
0,0.0,0.00786450864957265,0.0,-0.002032000000000001
0,0.0,0.007917088820512818,0.0,-0.002539999999999999
0,0.0,0.007947481982905982,0.0,-0.0030480000000000004
0,0.0,0.007956634666666667,0.0,-0.003556
0,0.0,0.007946327042735042,0.0,-0.004064
0,0.0,0.007918347965811964,0.0,-0.004572
0,0.0,0.007874468923076923,0.0,-0.00508
0,0.0,0.007815523555555556,0.0,-0.005587999999999999
0,0.0,0.007735841367521367,0.0,-0.006096
0,0.0,0.007627016478632479,0.0,-0.006604
0,0.0,0.007480478017094018,0.0,-0.007111999999999999
0,0.0,0.007287429333333332,0.0,-0.007619999999999999
0,0.0,0.007039811897435896,0.0,-0.008128
0,0.0,0.006736053948717949,0.0,-0.008636
0,0.0,0.006377006495726495,0.0,-0.009144
0,0.0,0.0059588313162393155,0.0,-0.009651999999999999
0,0.0,0.005470604239316239,0.0,-0.010159999999999999
0,0.0,0.004900315623931624,0.0,-0.010668
0,0.0,0.00423394988034188,0.0,-0.011176
0,0.0,0.0038447610940170935,0.0,-0.01143
0,0.0,0.003397807931623931,0.0,-0.011684
0,0.0,0.0028675080341880343,0.0,-0.011937999999999999
0,0.0,0.002203374017094017,0.0,-0.012192
0,0.0,0.0015507546666666664,0.0,-0.0123952
0,0.0,0.00119271452991453,0.0,-0.012496799999999999
0,0.0,0.0007749214358974359,0.0,-0.0125984
0,0.0,0.0005038752136752137,0.0,-0.0126492
0,0.0,0.0003236524444444444,0.0,-0.0126746
0,0.0,0.00020311316239316239,0.0,-0.0126873
0,0.0,0.0,0.0,-0.0127
0,0.0,-0.0004055316239316239,0.0,-0.0126873
0,0.0,-0.0005159716923076922,0.0,-0.0126746
0,0.0,-0.0006783145982905983,0.0,-0.0126492
0,0.0,-0.0009128890256410255,0.0,-0.0125984
0,0.0,-0.0012405794188034187,0.0,-0.012496799999999999
0,0.0,-0.001473920752136752,0.0,-0.0123952
0,0.0,-0.0017603980170940168,0.0,-0.012192
0,0.0,-0.001963016205128205,0.0,-0.011937999999999999
0,0.0,-0.002129353641025641,0.0,-0.011684
0,0.0,-0.0022617028376068376,0.0,-0.01143
0,0.0,-0.0023557045470085467,0.0,-0.011176
0,0.0,-0.0024713548717948714,0.0,-0.010668
0,0.0,-0.002551167316239316,0.0,-0.010159999999999999
0,0.0,-0.0026019412649572644,0.0,-0.009651999999999999
0,0.0,-0.0026260039658119656,0.0,-0.009144
0,0.0,-0.0026272370598290594,0.0,-0.008636
0,0.0,-0.0026093832478632476,0.0,-0.008128
0,0.0,-0.0025760897094017094,0.0,-0.007619999999999999
0,0.0,-0.0025308386324786325,0.0,-0.007111999999999999
0,0.0,-0.0024764435555555556,0.0,-0.006604
0,0.0,-0.002415509606837607,0.0,-0.006096
0,0.0,-0.002350659282051282,0.0,-0.005587999999999999
0,0.0,-0.0022845150769230764,0.0,-0.00508
0,0.0,-0.002219265299145299,0.0,-0.004572
0,0.0,-0.002155100991452991,0.0,-0.004064
0,0.0,-0.002091657435897436,0.0,-0.003556
0,0.0,-0.002028578598290598,0.0,-0.0030480000000000004
0,0.0,-0.0019654910769230766,0.0,-0.002539999999999999
0,0.0,-0.0019021083076923074,0.0,-0.002032000000000001
0,0.0,-0.0018384216068376067,0.0,-0.0015239999999999993
0,0.0,-0.001774552547008547,0.0,-0.0010159999999999995
0,0.0,-0.0017105792820512821,0.0,-0.0005079999999999998
0,0.0,-0.0016466060170940169,0.0,0.0
0,0.0,-0.0015827195897435897,0.0,0.0005079999999999998
0,0.0,-0.0015189113162393162,0.0,0.0010160000000000013
0,0.0,-0.0014551551452991452,0.0,0.001524000000000001
0,0.0,-0.0013914163418803419,0.0,0.002031999999999999
0,0.0,-0.0013276862222222222,0.0,0.002539999999999999
0,0.0,-0.001263930051282051,0.0,0.0030479999999999986
0,0.0,-0.0012001565128205128,0.0,0.003556
0,0.0,-0.0011363742905982903,0.0,0.004064000000000002
0,0.0,-0.0010725747008547006,0.0,0.004572
0,0.0,-0.0010087837948717948,0.0,0.005079999999999998
0,0.0,-0.0009449928888888888,0.0,0.005587999999999999
0,0.0,-0.0008812106666666666,0.0,0.006096000000000001
0,0.0,-0.0008174284444444443,0.0,0.006603999999999999
0,0.0,-0.0007536462222222221,0.0,0.007112
0,0.0,-0.0006898639999999999,0.0,0.007620000000000002
0,0.0,-0.0006260817777777777,0.0,0.008128
0,0.0,-0.0005622995555555555,0.0,0.008635999999999998
0,0.0,-0.0004985173333333332,0.0,0.009144
0,0.0,-0.00043473511111111104,0.0,0.009652
0,0.0,-0.00037095288888888884,0.0,0.010159999999999999
0,0.0,-0.00030717066666666664,0.0,0.010668
0,0.0,-0.00024338844444444442,0.0,0.011175999999999998
0,0.0,-0.0001796062222222222,0.0,0.011684
0,0.0,-0.00014771945299145298,0.0,0.011937999999999997
0,0.0,-0.00011583268376068375,0.0,0.012191999999999998
